09/12/2025,Modalidade,10/12/2025,Modalidade,11/12/2025,Modalidade,12/12/2025,Modalidade,13/12/2025,Modalidade,15/12/2025,Modalidade,16/12/2025,Modalidade,17/12/2025,Modalidade,18/12/2025,Modalidade,19/12/2025,Modalidade,20/12/2025,Modalidade,21/12/2025,Modalidade,22/12/2025,Modalidade,23/12/2025,Modalidade,24/12/2025,Modalidade,26/12/2025,Modalidade,27/12/2025,Modalidade,29/12/2025,Modalidade,30/12/2025,Modalidade,31/12/2025,Modalidade
"R$ 50,00",Dinheiro,"R$ 107,99",Pix Sicredi,"R$ 60,00",Recebimento Crediario,"R$ 196,99",Crediário,"R$ 418,48",Crédito Av Sicredi,"R$ 219,97",Parcelado 2 a 4 Sicredi,"R$ 80,99",Débito Sicredi,"R$ 161,99",Pix Sicredi,"R$ 80,99",Pix Sicredi,"R$ 107,99",Débito Sicredi,"R$ 80,99",Débito Sicredi,,,"R$ 254,00",Recebimento Crediario,"R$ 279,00",Dinheiro,"R$ 323,98",Pix Sicredi,"R$ 100,00",Recebimento Crediario,"R$ 80,99",Débito Sicredi,"R$ 81,00",Dinheiro,"R$ 116,99",Pix Sicredi,"R$ 89,99",Débito Sicredi
"R$ 98,99",Pix Sicredi,"R$ 166,50",Pix Sicredi,"R$ 90,00",Crédito Av Sicredi,"R$ 246,00",Recebimento Crediario,"R$ 134,99",Pix Sicredi,"R$ 77,50",Recebimento Crediario,"R$ 139,99",Parcelado 2 a 4 Sicredi,"R$ 189,00",Dinheiro,"R$ 80,99",Pix Sicredi,"R$ 116,99",Crédito Av Sicredi,"R$ 65,00",Recebimento Crediario,,,"R$ 231,50",Recebimento Crediario,"R$ 429,97",Parcelado 2 a 4 Sicredi,"R$ 199,98",Pix Sicredi,"R$ 81,00",Dinheiro,"R$ 22,50",Pix Sicredi,"R$ 104,99",Parcelado 2 a 4 Sicredi,"R$ 234,90",Dinheiro,"R$ 189,00",Débito Sicredi
"R$ 256,50",Pix Sicredi,"R$ 206,99",Débito Sicredi,"R$ 116,99",Dinheiro,"R$ 9,00",Pix Sicredi,"R$ 289,99",Parcelado 2 a 4 Sicredi,"R$ 269,99",Parcelado 2 a 4 Sicredi,"R$ 179,99",Parcelado 2 a 4 Sicredi,"R$ 100,00",Débito Sicredi,"R$ 185,50",Débito Sicredi,"R$ 279,00",Pix Sicredi,"R$ 152,99",Crédito Av Sicredi,,,"R$ 98,00",Recebimento Crediario,"R$ 45,00",Dinheiro,"R$ 279,00",Pix Sicredi,"R$ 80,99",Débito Sicredi,"R$ 260,99",Débito Sicredi,"R$ 439,98",Parcelado 5 a 6 Sicredi,"R$ 59,90",Pix Sicredi,"R$ 134,99",Parcelado 2 a 4 Sicredi
"R$ 202,00",Recebimento Crediario,"R$ 100,00",Dinheiro,"R$ 100,00",Débito Sicredi,"R$ 161,98",Pix Sicredi,"R$ 249,98",Crediário,"R$ 143,99",Débito Sicredi,"R$ 152,99",Débito Sicredi,"R$ 125,00",Dinheiro,"R$ 80,00",Crédito Av Sicredi,"R$ 161,99",Pix Sicredi,"R$ 190,00",Pix Sicredi,,,"R$ 100,00",Recebimento Crediario,"R$ 319,99",Pix Sicredi,"R$ 944,91",Parcelado 5 a 6 Sicredi,"R$ 99,00",Débito Sicredi,"R$ 214,99",Parcelado 2 a 4 Sicredi,"R$ 100,00",Recebimento Crediario,"R$ 242,98",Crédito Av Sicredi,"R$ 119,99",Parcelado 2 a 4 Sicredi
"R$ 80,99",Pix Sicredi,"R$ 26,00",Pix Sicredi,"R$ 52,00",Dinheiro,"R$ 169,99",Parcelado 2 a 4 Sicredi,"R$ 99,99",Crediário,"R$ 99,00",Débito Sicredi,"R$ 398,75",Recebimento Crediario,"R$ 129,99",BonusCred,"R$ 296,98",Crédito Av Sicredi,"R$ 150,00",Recebimento Crediario,"R$ 63,00",Dinheiro,,,"R$ 269,97",Parcelado 2 a 4 Sicredi,"R$ 89,99",Pix Sicredi,"R$ 170,00",Dinheiro,"R$ 99,99",Parcelado 2 a 4 Sicredi,"R$ 60,00",Recebimento Crediario,"R$ 174,99",Parcelado 2 a 4 Sicredi,"R$ 135,00",Pix Sicredi,"R$ 229,98",Parcelado 2 a 4 Sicredi
"R$ 70,00",Recebimento Crediario,"R$ 89,99",Crediário,"R$ 160,00",Pix Sicredi,"R$ 63,00",Dinheiro,"R$ 224,99",Pix Sicredi,"R$ 60,00",Recebimento Crediario,"R$ 139,99",Parcelado 2 a 4 Sicredi,"R$ 80,99",Débito Sicredi,"R$ 386,98",Pix Sicredi,"R$ 148,50",Débito Sicredi,"R$ 117,00",Pix Sicredi,,,"R$ 864,96",BonusCred,"R$ 108,00",Dinheiro,"R$ 199,99",Parcelado 2 a 4 Sicredi,"R$ 216,99",BonusCred,,,"R$ 80,99",Débito Sicredi,"R$ 170,99",Pix Sicredi,,
"R$ 259,97",Parcelado 2 a 4 Sicredi,"R$ 89,99",Crediário,"R$ 323,98",Débito Sicredi,"R$ 224,99",Crediário,"R$ 89,99",Crédito Av Sicredi,"R$ 135,00",Débito Sicredi,"R$ 125,00",Recebimento Crediario,"R$ 195,00",Parcelado 2 a 4 Sicredi,"R$ 115,00",Recebimento Crediario,"R$ 104,40",Débito Sicredi,"R$ 149,99",Parcelado 2 a 4 Sicredi,,,"R$ 161,98",Débito Sicredi,"R$ 100,00",Recebimento Crediario,"R$ 212,98",Parcelado 2 a 4 Sicredi,"R$ 98,99",Débito Sicredi,,,"R$ 80,99",Débito Sicredi,"R$ 80,99",Débito Sicredi,,
"R$ 283,50",Débito Sicredi,"R$ 110,83",Recebimento Crediario,"R$ 126,00",Debito Sicoob,"R$ 249,99",Crediário,"R$ 269,97",Pix Sicredi,"R$ 195,32",Recebimento Crediario,"R$ 335,99",Parcelado 5 a 6 Sicoob,"R$ 139,50",Débito Sicredi,"R$ 81,00",Dinheiro,"R$ 199,99",BonusCred,"R$ 339,99",BonusCred,,,"R$ 159,99",Parcelado 2 a 4 Sicredi,"R$ 100,00",Recebimento Crediario,"R$ 80,99",Pix Sicredi,"R$ 107,99",Dinheiro,,,"R$ 90,00",Dinheiro,"R$ 79,00",Dinheiro,,
"R$ 66,50",Recebimento Crediario,"R$ 91,60",Recebimento Crediario,"R$ 139,50",Débito Sicredi,"R$ 389,99",Crediário,"R$ 148,50",Pix Sicredi,"R$ 13,50",Dinheiro,"R$ 240,59",Pix Sicredi,"R$ 229,99",BonusCred,"R$ 99,99",Crédito Av Sicredi,"R$ 169,99",Parcelado 2 a 4 Sicredi,"R$ 233,98",Pix Sicredi,,,"R$ 330,00",Dinheiro,"R$ 116,99",Pix Sicredi,"R$ 200,00",Dinheiro,"R$ 262,00",Dinheiro,,,"R$ 161,99",Pix Sicredi,"R$ 135,00",Débito Sicredi,,
"R$ 80,99",Pix Sicredi,"R$ 100,00",Recebimento Crediario,"R$ 139,99",Parcelado 2 a 4 Sicredi,"R$ 108,00",Crédito Av Sicredi,"R$ 107,99",Crédito Av Sicredi,"R$ 279,99",Parcelado 5 a 6 Sicredi,"R$ 150,00",Dinheiro,"R$ 109,99",Parcelado 2 a 4 Sicredi,"R$ 179,99",Crédito Av Sicredi,"R$ 189,00",Dinheiro,"R$ 209,99",Parcelado 2 a 4 Sicredi,,,"R$ 143,99",Débito Sicredi,"R$ 107,99",Pix Sicredi,"R$ 95,00",Crédito Av Sicredi,"R$ 21,00",Crédito Av Sicredi,,,"R$ 9,00",Dinheiro,"R$ 229,40",Débito Sicredi,,
